project ID,project name,companies of project,role of company,location of company,source,
GS2297 ,Project Ulubelu Unit 3 - 4 PT. Pertamina Geothermal Energy,South Pole Carbon Asset Management Ltd ,Project Proponent,Switzerland,https://www.southpole.com/about-us/south-pole-offices,
GS2297 ,Project Ulubelu Unit 3 - 4 PT. Pertamina Geothermal Energy,PT. Pertamina Geothermal Energy,Project Proponent,Jakarta,https://www.pge.pertamina.com/id,
VCS967,Bantargebang Landfill Gas Management & Power Generation,PT Navigat Organic Energy Indonesia,Project Proponent,"Jakarta, Indonesia",https://maxpowergroup.com/contact-us/,
VCS967,Bantargebang Landfill Gas Management & Power Generation,PT Zeus Innavitas,Advisory management entity + host country project participant,"Jakarta, Indonesia",XXX,
VCS5524,Central Seram IFM restorationwise Project,"Asia Assets Developments Co., Ltd.",Project Proponent,Taiwan,https://www.asiaassetsdev.com/,
VCS5524,Central Seram IFM restorationwise Project,"W Investment Co., Ltd.",Project Proponent,Taiwan,XXX,
VCS5524,Central Seram IFM restorationwise Project,PT Bintang Lima Makmur,Project Proponent,"Jakarta, Indonesia",XXX,
VCS5524,Central Seram IFM restorationwise Project,PT Green Ekonomi Sejahtera,Project Proponent,"Jakarta, Indonesia",XXX,
VCS5834,Delta Kapuas Project,PT Belantara Sejahtera Mandiri,Project proponent,"Jakarta, Indonesia",https://www.tap-agri.com/,
VCS5834,Delta Kapuas Project,Perkumpulan SAMPAN Kalimantan,Facilitator,"West Kalimantan, Indonesia",https://sampankalimantan.id/,
VCS5834,Delta Kapuas Project,PT Wanantara Alesha Sadhana (PT WAS),Project development consultant and carbon accounting,???,XXX,
VCS5834,Delta Kapuas Project,LPHD Kampung Baru,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Kampung Baru Head,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Ambawang,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Sungai Bemban,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Setuat Dua,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Mengkalang,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Dabong,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Kubu,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Betuah,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Tanjung Beringin,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Teluk Bakung,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Medan Mas,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Teluk Nibung,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Nipah Panjang,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Tasik Malaya,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Sungai Besar,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Ambarawa,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Sungai Jawi,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Padang Tikar Satu,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Batu Ampar,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Tanjung Harapan,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Dusun Kecil,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Dusun Besar,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Satai Lestari,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Tanjung Satai,Project Proponent,Indonesia,XXX,
VCS5834,Delta Kapuas Project,LPHD Kemboja,Project Proponent,Indonesia,XXX,
VCS5631,Enviro Rise,PT Rimbun Seruyan,Project Proponent,"Jakarta, Indonesia",XXX,
VCS5631,Enviro Rise,Neusa Global Pte Ltd,Technical and operational support,Singapore,https://www.credencedata.com/company-profile/sgp/neusa-global-pte-ltd-27ef2708,
VCS5891,Forest Landscape Restoration in North Sulawesi Province,Thryve.Earth PTE LTD,Project proponent,Singapore,https://www.thryve.earth/,
VCS5891,Forest Landscape Restoration in North Sulawesi Province,PT Thryve.Earth Indonesia,Local subsidiary,"Indonesia, Jakarta",https://www.thryve.earth/,
VCS5891,Forest Landscape Restoration in North Sulawesi Province,Masarang Foundation,"Implementation partner, conservation NGO","Indonesia, North Sulawesi",https://masarang.eu/,
VCS5799,Gerbang Barito REDD+ Project,Lembaga Pengelola Hutan Desa (LPHD) Batampang,Project proponent,Central Kalimantan,XXX,
VCS5799,Gerbang Barito REDD+ Project,Lembaga Pengelola Hutan Desa (LPHD) Batilap,Project proponent,Central Kalimantan,XXX,
VCS5799,Gerbang Barito REDD+ Project,Wildlife Works,Project developer,USA,https://www.wildlifeworks.com/,
VCS5873,Gunung Lumut Landscape Project,PT Telaga Mas Kalimantan (PT TMK),Project proponent,"Indonesia, Jakarta",XXX,
VCS5873,Gunung Lumut Landscape Project,PT Indika Multi Properti (PT IMP),Holding company of PT TMK + guarantor for the funding of the project,"Indonesia, Jakarta",XXX,
VCS5873,Gunung Lumut Landscape Project,PT Wanantara Alesha Sadhana (PT WAS),Expert in the field of carbon accounting and biodiversity of the project,"Indonesia, Kota Bogor",XXX,
VCS5736,Kapuas Pisau Conservation Project,PT Indo Hutan Ekosistem,Project Proponent,"Jakarta, Indonesia",XXX,
VCS5736,Kapuas Pisau Conservation Project,PT Ramang Agro Lestari,Operational Director,"Jakarta, Indonesia",XXX,
VCS5736,Kapuas Pisau Conservation Project,Canopy Carbon PTE LTD,Technical Partner,Singapore,https://www.canopycarbon.org/,
VCS1477,Katingan Peatland Restoration and Conservation Project,PT. Rimba Makmur Utama,Project proponent,Indonesia,https://www.weforum.org/organizations/rimba-makmur-utama/,
VCS5475,KUBURAYA MANGROVE: CONCESSION TO CONSERVATION PROJECT,Nusantara Climate Initiative Indonesia,Project proponent,"Jakarta, Indonesia",https://nusantaraclimate.co.id/,
VCS5475,KUBURAYA MANGROVE: CONCESSION TO CONSERVATION PROJECT,PT Kandelia Alam,Project proponent,"Kalimantan, Indonesia",XXX,
